discipline,rank,participants,weight,prize_money
MD,1,10,0.6777352986354683,104.0
MD,3,10,0.4991412515072236,77.0
MD,5,14,0.39513941039067957,85.0
MD,7,12,0.36885116209717317,69.0
MD,9,12,0.36465366362063684,68.0
MD,11,11,0.3304183001594199,57.0
MS,1,8,0.7671747226274955,95.0
MS,3,14,0.5828014041086836,126.0
MS,5,9,0.45886426215828285,64.0
MS,7,10,0.3811134624400163,60.0
MS,8,11,0.36608116296949766,63.0
MS,9,9,0.3520029234805834,50.0
MS,10,9,0.3420455951172337,48.0
MS,11,14,0.2974228976560628,65.0
MS,12,14,0.23156226361679347,51.0
WD,1,7,0.6612826048873087,133.0
WD,3,6,0.4864709876715746,83.0
WD,5,6,0.40559773364599566,70.0
WD,7,5,0.33273477805609847,48.0
WD,9,5,0.3632332693429959,53.0
WD,11,3,0.3298722717475039,29.0
WS,1,8,0.7485409370704111,172.0
WS,3,0,0.5854470621030153,0.0
WS,5,4,0.43746339214896657,51.0
WS,7,9,0.3758160485264678,97.0
WS,9,11,0.33877720264602545,107.0
WS,11,7,0.30819811873180003,63.0
XD,1,6,0.7417492307384886,100.0
XD,3,15,0.5835086546446538,187.0
XD,5,10,0.4111144430144058,94.0
XD,7,7,0.3534562312998225,60.0
XD,10,10,0.3301950908180273,75.0
XD,11,0,0.32247480081982677,0.0
